Columna2,Columna3,Columna4,Columna5,Columna7,Columna8,Columna10,Columna11,Columna12,Columna13,Columna15,Columna16,Columna17,Columna18,Columna19,Columna20,Columna21,Columna22,Columna24,Columna25,Columna26
ACUSACION,ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,LEY,MUNICIPIO,PAIS,PAIS_NACIMIENTO,SECCIONAL,SEXO_VICTIMA,TOTAL_VICTIMAS
NO,2010,2010,2010,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,CARTAGENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,2
NO,2011,2011,2011,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2011,2011,2011,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,,1
NO,2012,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2012,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,CARTAGENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,1
NO,2012,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,CARTAGENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,1
NO,2013,2013,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,,1
NO,2013,2013,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,CARTAGENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,,1
NO,2014,2014,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,BUCARAMANGA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE SANTANDER,,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,2
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,CARTAGENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,CARTAGENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,CARTAGENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,2
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,SANTANDER DE QUILICHAO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CAUCA,FEMENINO,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,MONTELÍBANO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMENINO,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,ACTIVO,INDAGACIÓN,INFANCIA 6 - 11,SI,SI,NO,Ley 906,SAN CARLOS DE GUAROA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE META,FEMENINO,1
NO,2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,MASCULINO,3
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,MASCULINO,2
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,5
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,MASCULINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,JUICIO,ADULTEZ 29 - 59,SI,SI,SI,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,5
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,MASCULINO,2
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,NO,NO,Ley 906,CARTAGENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,POPAYÁN,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CAUCA,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,ACTIVO,INVESTIGACIÓN,SIN DATO,SI,NO,SI,Ley 906,MONTERÍA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,SANTA MARTA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE MAGDALENA,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,SANTA MARTA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE MAGDALENA,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Quindío,ACTIVO,JUICIO,ADOLESCENTE 14 - 17,SI,NO,SI,Ley 906,MONTENEGRO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE QUINDÍO,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,FEMENINO,2
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,MASCULINO,2
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,Ley 906,SAN FRANCISCO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMENINO,1
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Casanare,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,Ley 906,TAURAMENA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CASANARE,FEMENINO,1
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,Ley 906,ANAPOIMA,Colombia,Colombia,,FEMENINO,1
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,Ley 906,ANAPOIMA,Colombia,Colombia,,MASCULINO,1
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,NO,SI,Ley 906,VILLAVICENCIO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE META,FEMENINO,1
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,ADULTO MAYOR DE 60,SI,NO,SI,Ley 906,VILLAVICENCIO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE META,FEMENINO,1
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,Ley 906,VILLAVICENCIO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE META,FEMENINO,2
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,Ley 906,SANTIAGO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,FEMENINO,1
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,Ley 906,SANTIAGO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,MASCULINO,1
NO,2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,BUENAVENTURA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMENINO,1
NO,2015,2015,2015,SI,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,JUICIO,ADOLESCENTE 14 - 17,SI,NO,SI,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,Ley 906,POPAYÁN,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CAUCA,FEMENINO,1
NO,2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,SI,SI,Ley 906,CURUMANÍ,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CESAR,FEMENINO,1
NO,2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,La Guajira,INACTIVO,EJECUCIÓN DE PENAS,ADOLESCENTE 14 - 17,SI,NO,SI,Ley 906,URUMITA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE LA GUAJIRA,FEMENINO,1
NO,2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Magdalena,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,SI,SI,Ley 906,SANTA MARTA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE MAGDALENA,FEMENINO,1
NO,2015,2015,2015,SI,SI,"FEMINICIDIO ART. 104A C.P. AGRAVADO POR VICTIMA MENOR DE 18 AÑOS, MAYOR DE 60 O EMBARAZO. ART. 104B L.B",Atlántico,ACTIVO,INVESTIGACIÓN,ADULTO MAYOR DE 60,SI,SI,SI,Ley 906,SOLEDAD,Colombia,Colombia,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,NO,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACIÓN,SIN DATO,NO,NO,NO,Ley 906,TUNJA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOYACÁ,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,SI,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,FEMENINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTO MAYOR DE 60,NO,SI,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,MASCULINO,1
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,NO,SI,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,FEMENINO,3
NO,2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,NO,SI,NO,Ley 906,CALI,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALI,MASCULINO,1
NO,2015,2015,2015,SI,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,NO,NO,NO,Ley 906,TUNJA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOYACÁ,FEMENINO,1
NO,2015,2017,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,La Guajira,ACTIVO,INVESTIGACIÓN,PRE-ADOLESCENTE 12 - 13,NO,NO,NO,Ley 906,MAICAO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE LA GUAJIRA,FEMENINO,1
NO,2015,2017,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,La Guajira,ACTIVO,INVESTIGACIÓN,SIN DATO,NO,NO,NO,Ley 906,MAICAO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE LA GUAJIRA,FEMENINO,1
NO,2016,2016,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,TIERRALTA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMENINO,1
NO,2016,2016,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 1098,BELLO,Colombia,Colombia,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMENINO,1
NO,2016,2016,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Caldas,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,PÁCORA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE CALDAS,MASCULINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,MEDELLÍN,Colombia,Colombia,DIRECCIÓN SECCIONAL DE MEDELLÍN,MASCULINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,MEDELLÍN,Colombia,Colombia,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INVESTIGACIÓN,SIN DATO,SI,NO,SI,Ley 906,EL BAGRE,Colombia,Colombia,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Atlántico,INACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,SI,NO,Ley 906,SOLEDAD,Colombia,Colombia,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Atlántico,INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,BARRANQUILLA,Colombia,Colombia,DIRECCIÓN SECCIONAL DE ATLÁNTICO,MASCULINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,3
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,5
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,MASCULINO,4
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,3
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,JUICIO,JUVENTUD 18 - 28,SI,NO,SI,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,2
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,TERMINACIÓN ANTICIPADA,JUVENTUD 18 - 28,SI,SI,SI,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,9
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,MASCULINO,2
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,6
NO,2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,EL CARMEN DE BOLÍVAR,Colombia,Colombia,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,1
